,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
DRI US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,6.4918,6.8649,7.1137,8.0872,6.4587,5.182,5.2822,4.754,5.5005,7.0179,7.6126,9.4777,9.6924,9.7687,11.0185,12.6253,13.3779,11.9979,11.1382,10.9462,10.008,12.8179,14.1143,14.6542,17.2437,16.2239,21.9084,25.1204,22.9528,22.5253,19.0363,16.616,17.7061,17.7247,19.6688,23.1744,19.2428,21.8366,26.0174,28.7748,30.9719,28.5208,36.7569,38.7895,37.4327,40.3494,38.3634,39.3375,42.2411,40.3587,26.8254,31.7508,31.3207,28.2452,28.0323,34.3286,33.2389,34.6637,35.8891,45.9117,40.2622,44.7056,48.8864,52.0745,53.0934,45.9795,49.5101,56.1101,56.0064,62.2772,50.8037,58.8975,58.1063,53.8499,64.0012,60.3885,55.6563,62.6499,72.1643,86.1265,89.0072,86.493,90.4312,94.9596,91.4214,89.3044,106.8703,123.925,134.8518,118.2912,145.3015,129.8375,164.2415,171.7358,155.3011
MSFT US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,5.6484,5.6563,5.4844,6.4453,7.5078,8.2422,10.3281,11.4609,15.7969,16.5391,16.1563,22.375,27.0938,27.5156,34.6719,44.8125,45.0938,45.2813,58.375,53.125,40,30.1563,21.6875,27.3438,36.5,25.585,33.125,30.155,27.35,21.87,25.85,24.289,25.7236,27.8907,27.6104,25.149,28.8108,27.9748,30.0738,27.2877,28.1321,29.226,29.7895,31.1008,26.7352,31.497,34.5053,32.3167,34.2825,34.3921,41.6927,33.3669,32.4635,31.6226,23.1854,22.0667,28.7361,31.2649,37.2116,35.9197,28.349,30.3311,34.7811,31.8285,32.8058,31.6035,33.2086,41.5342,39.6509,38.8312,35.147,37.9497,46.1445,44.772,50.7117,55.9804,57.3446,64.1467,64.68,57.0133,62.318,62.883,79.3597,79.5587,74.2357,84.0878,91.3166,97.3678,102.4791,111.3351,128.4978,137.7395,149.46,174.0232,155.2242
KLAC US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,19.3125,20.0625,13.0313,11.3125,11.625,11.25,17.75,18.25,24.375,33.7813,19.3125,19.125,13.8438,12.4375,21.6875,24.2813,32.4375,32.5,55.6875,84.25,58.5625,41.1875,33.6875,39.375,58.47,31.58,49.56,66.5,43.99,27.94,35.37,35.942,46.46,51.6,58.54,50.28,49.38,41.48,46.58,46.01,43.811,49.0261,49.7172,48.8502,42.0985,45.1684,50.6541,54.4209,56.2058,57.203,49.5394,38.2959,42.1585,32.9,22.8743,21.1745,26.8943,38.3762,38.8733,33.4146,30.2652,38.5723,42.5888,52.4191,45.0918,43.0549,54.6861,62.105,56.5984,55.2361,55.8029,62.0609,66.0633,72.685,77.5503,83.7616,88.6366,96.7868,108.2402,90.4253,87.9333,79.008,110.4493,116.9188,118.5141,113.6553,129.2097,157.0923,152.0242,177.2463,176.706,184.3387,174.5344,174.2646,154.5451
UPS US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.306,63.466,59.517,57.139,59.714,58.022,59.13,53.357,56.137,62.835,64.024,65.02,65.786,59.66,66.895,67.263,78.87,74.181,80.165,81.285,91.806,78.473,74.95,75.262,82.157,87.215,90.876,79.829,83.602,78.602,82.344,85.186,80.679,83.825,71.011,73.177,64.707,58.344,59.767,68.09,69.723,78.928,70.203,82.897,90.841,93.666,92.557,80.814,94.368,104.85,103.065,94.355,97.991,115.022,116.613,124.095,143.592,134.002,142.21,137.106,156.036,137.04,137.991,141.533,138.987,153.551,158.029,161.573,170.546,160.862,167.116,182.83,182.728,161.879,165.603,183.363,154.443
EMN US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,30.1785,32.6621,32.0442,35.6596,31.6581,30.5981,29.1882,28.6219,34.0602,33.4972,32.4257,36.9574,34.3448,28.0647,25.0914,23.8092,29.5298,22.9719,27.7428,26.7909,28.3772,22.174,29.5458,30.088,29.3705,22.65,24.6327,31.099,30.1829,24.8055,24.1809,19.3654,21.4404,22.9632,27.4083,29.9214,32.7302,33.9827,41.5946,42.8162,40.3319,34.6683,38.4001,38.4241,40.8901,41.2437,45.6312,49.0834,50.1988,52.4303,48.3284,49.7322,55.1635,44.4423,25.9875,22.3869,31.9941,45.5767,51.6601,54.9989,46.4259,64.8161,74.0703,87.9328,90.7977,61.3932,70.4834,93.7394,91.8628,104.4523,125.2662,129.147,129.9707,145.1715,151.1021,162.0804,164.8694,153.3254,144.5508,132.7221,157.5949,125.369,131.6402,141.7512,134.0983,134.6211,150.5888,162.8442,170.303,184.5831,190.1415,217.8295,207.3046,199.6583,153.8194
ADS US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15,16.25,19.15,25.14,25.55,15.15,17.72,17,23.4,26.4,27.68,33.55,42.25,40.56,47.48,40.4,40.56,39.15,35.6,46.77,58.82,55.19,62.47,61.62,77.28,77.44,74.99,47.51,56.55,63.38,46.53,36.95,41.19,61.08,64.59,63.99,59.52,65.26,71.03,85.89,94.07,92.7,103.84,125.96,135,141.95,144.76,161.89,181.03,211.47,262.93,272.45,281.25,248.27,286.05,296.25,291.94,258.98,276.57,220,195.92,214.53,229.089,250.212,258.473,223.611,256.432,215.837,237.109,240.721,153.403
XEL US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,23.4155,23.7311,26.049,25.8501,26.5576,25.8203,25.7871,26.6302,29.5235,29.1722,34.5689,35.014,34.3814,34.5664,34.6238,28.9312,30.6367,28.1976,25.9745,26.474,27.3614,38.1731,41.1649,43.195,40.8136,41.4529,41.4016,37.8345,25.3974,14.4481,17.7207,20.6365,24.5238,25.5392,28.6525,30.3695,28.8476,30.2591,32.1578,30.7357,35.3081,35.8626,34.1501,33.9753,36.3303,39.536,44.5754,48.158,40.3808,42.9405,45.444,40.632,41.3602,41.6787,39.1915,39.8764,39.9519,42.2758,47.1622,47.6598,46.8942,52.8418,54.7569,56.1456,57.7177,59.2479,66.9656,64.7647,70.1664,69.1107,67.285,75.5247,72.7536,71.6119,73.193,80.3177,86.0999,81.9876,97.6951,95.5741,89.2263,99.1311,101.4414,119.1312,128.5768,119.1145,118.8257,130.8547,136.0975,141.3982,144.8415,138.1186,139.9556,145.7778,153.3043
EW US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.391,4.629,5.453,4.438,4.9,6.59,5.6,6.908,6.988,5.8,6.398,6.368,6.85,8.035,6.77,7.52,7.988,8.713,8.375,10.315,10.805,10.755,11.103,10.403,10.875,11.358,11.648,11.76,12.675,12.335,12.328,11.498,11.138,15.51,14.44,13.738,15.158,17.008,17.478,21.713,24.72,28.01,33.525,40.42,43.5,43.59,35.64,35.35,36.365,51.65,53.685,45.085,41.08,33.6,34.815,32.88,37.085,42.92,51.075,63.69,71.23,71.215,71.085,78.98,88.21,99.73,120.56,93.7,94.07,118.24,109.31,112.71,139.52,145.57,174.1,153.17
TROW US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,4.8583,6.4886,6.2617,6.7643,7.8803,8.356,11.2163,9.6018,13.3862,17.4729,16.3838,18.3804,19.6692,15.4264,18.0394,18.1585,20.3289,14.5844,19.7063,21.1515,22.8274,25.2801,22.844,17.0067,20.3915,16.0576,19.1224,21.5192,18.262,13.9497,15.3383,15.341,21.4614,23.5487,27.1573,30.9453,29.0855,29.5084,36.1624,34.6556,36.6724,38.3942,42.5147,46.332,44.9651,57.0732,52.4074,56.6982,62.5464,67.3331,73.8919,60.9879,69.1562,66.0479,43.8903,36.0798,52.3947,57.78,67.662,70.2011,57.0031,64.6477,83.6959,86.5465,79.0539,62.9752,75.4911,87.0198,84.3857,85.2988,89.5832,103.521,101.732,100.4977,117.6101,116.2381,119.781,111.8665,123.1683,116.8962,115.8011,104.2985,108.0814,111.8965,111.987,102.8759,117.2502,107.0235,117.4457,144.4342,168.122,174.0412,188.1894,178.1227,151.7468
VMC US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,18.413,18.033,19.731,19.54,20.639,21.005,21.456,23.036,28.052,31.252,36.856,39.724,38.881,37.038,48.354,45.75,53.66,40.913,44.819,51.677,48.367,45.741,54.764,53.851,62.069,50.12,55.894,55.709,51.585,42.845,44.717,36.324,44.853,48.576,58.223,58.388,58.869,63.423,68.321,71.466,82.129,94.187,86.362,110.976,100.377,101.189,116.699,151.823,149.88,117.247,104.605,88.453,80.151,100.576,94.904,61.109,60.186,75.894,74.295,67.006,62.481,52.986,64.069,66.239,56.33,40.592,57.975,62.969,58.535,69.741,76.761,76.259,71.42,76.452,87.697,98.147,94.238,89.12,97.343,124.996,124.583,132.55,141.258,157.351,179.697,170.084,187.454,180.835,190.516,180.267,193.88,172.829,195.792,169.12,150.671
