,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
BKNG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,497.25,693.375,387,284.25,480,227.906,71.25,7.875,15.187,54.3,22.74,34.92,31.38,16.74,8.76,9.6,9.84,22.28,29.04,17.9,26.96,26.93,22.17,23.59,25.2,23.33,19.32,22.32,24.84,29.86,36.79,43.61,53.26,68.74,88.75,114.86,120.86,115.46,68.43,73.65,78.78,111.55,165.82,218.41,255,176.54,348.34,399.55,506.44,511.93,449.46,467.71,717.5,664.52,619.07,620.39,688.162,826.67,1010.95,1162.4,1191.89,1203,1158.58,1140.21,1164.15,1151.37,1236.86,1274.95,1288.96,1248.41,1471.49,1466.06,1779.97,1870.52,1830.82,1737.74,2080.39,2027.09,1984,1722.42
AMZN US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.542,4.339,5.021,7.128,16.625,18.604,53.542,86.094,62.563,79.938,76.125,67,36.313,38.438,15.563,10.23,14.15,5.97,10.82,14.3,16.25,15.93,18.89,26.03,36.32,48.43,52.62,43.28,54.4,40.86,44.29,34.27,33.09,45.3,47.15,36.53,38.68,32.12,39.46,39.79,68.41,93.15,92.64,71.3,73.33,72.76,51.28,73.44,83.66,93.36,134.52,135.77,109.26,157.06,180,180.13,204.49,216.23,173.1,202.51,228.35,254.32,250.87,266.49,277.69,312.64,398.79,336.365,324.78,322.44,310.35,372.1,434.09,511.89,675.89,593.64,715.62,837.31,749.87,886.54,968,961.35,1169.47,1447.34,1699.8,2003,1501.97
GOOGL US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,64.863,96.488,90.342,147.218,158.383,207.631,195.189,209.868,201.145,230.463,229.302,261.603,283.91,346.075,220.448,263.465,200.454,153.974,174.199,210.999,248.165,310.29,283.835,222.691,263.15,297.273,293.664,253.435,257.77,323.263,320.931,290.316,377.616,354.033,397.479,440.612,438.379,560.898,557.795,584.67,588.41,530.66,554.7,540.04,638.37,778.01,762.9,703.53,804.06,792.45,847.8,929.68,973.72,1053.4,1037.14,1129.19,1207.08,1044.96
GOOG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,555.445,573.705,575.779,524.958,546.499,520.51,608.42,758.88,744.95,692.1,777.29,771.82,829.56,908.73,959.11,1046.4,1031.79,1115.65,1193.47,1035.61
AZO US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,25.125,25.5,28.875,33.875,34.75,29,27.5,22.5,23.375,29.875,29,33.875,31.938,24.625,32.938,30.375,30.125,28.063,32.313,27.75,22.016,22.688,28.5,28.02,37.5,51.86,71.8,68.85,77.3,78.86,70.65,68.71,75.97,89.53,85.21,85.97,80.1,77.25,91.31,85.7,92.46,83.25,91.75,99.69,88.2,103.3,115.56,128.14,136.62,116.14,119.91,113.83,121.01,123.34,139.47,162.62,151.11,146.22,158.07,173.09,193.22,228.91,272.59,273.56,294.85,319.19,324.97,371.8,367.17,369.67,354.43,396.77,423.69,422.73,477.94,537.1,536.24,509.66,619.11,682.16,666.9,723.83,741.91,796.69,793.84,768.34,789.79,723.05,570.46,595.11,711.37,648.69,670.93,775.7,838.34
ESS US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,19.04,18.97,21.18,23.31,24.62,28.99,34.76,35.85,39.1,42.93,43.72,43.44,39.88,40.52,39.55,35.39,48.7,48.88,48.34,51.97,61.51,81.96,81.93,72.96,76.29,76.71,78.28,83.89,89.18,81.83,85.45,89.1,98.97,109.77,113.76,117.44,123.97,131.75,155.13,129.42,157.08,171.79,177.52,210.96,218.34,239.02,256.14,258.47,233.97,238.4,199.55,235.42,222.05,248.83,163.62,124.42,137.29,177.78,189.14,205.76,225.34,255.24,268.8,294.33,323.63,289.63,341.53,370.99,379.67,368.37,367.16,380.04,404.19,378.69,371.04,442.88,484.99,472.21,549.16,614.88,572.16,605.6,652.78,642.01,630.66,620.09,651.93,654.11,731.71,727.49,696.26,699.66,700.47,728.41,729.47
TDG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25.75,23.95,24.42,26.51,36.38,40.46,45.71,45.17,37.05,33.59,34.23,33.57,32.84,36.2,49.81,55.663,62.168,59.812,72.729,84.403,98.257,106.884,95.726,112.147,135.683,157.413,166.286,175.474,196.784,201.738,206.208,239.391,275.34,285.739,314.9,335.435,373.65,383.815,362.871,390.273,376.418,450.475,493.918,464.542,410.803,501.692,517.286,555.67,621.067,698.362,753.318,688.083
SHW US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,17.976,17.742,20.742,22.68,23.855,23.884,28.934,28,32.127,30.731,29.072,37.453,34.945,23.035,31.253,30.076,29.79,22.58,22.77,24.159,23.26,23.601,29.238,28.48,24.982,25.164,31.32,32.624,34.443,27.39,32.855,30.917,31.623,34.78,41.275,45.879,49.823,52.937,53.948,53.424,57.454,54.007,55.929,61.213,59.091,69.755,79.829,83.31,84.245,83.659,74.264,65.723,59.499,74.504,78.406,68.723,71.546,80.549,83.036,91.667,94.145,102.77,115.113,115.952,116.278,103.549,124.915,152.648,186.526,210.456,217.962,240.084,251.692,260.408,263.003,283.32,298.198,316.427,380.955,412.994,400.162,324.946,379.611,417.587,432.032,408.196,397.782,460.394,522.254,534.148,613.065,587.538,612.069,684.941,593.237
MTD US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.25,22.188,20.063,21.5,28.063,24.75,25.5,29.625,38.188,40.938,40.016,44,54.375,41.16,43.25,42.14,51.85,45.26,36.87,26,32.06,29.79,36.65,35.95,42.21,44.4,49.14,47.22,51.31,47.5,46.58,50.98,55.2,60.34,60.57,66.15,78.85,89.57,95.51,102,113.8,97.12,94.86,98,67.4,51.33,77.15,90.59,104.99,109.2,111.63,124.44,151.21,172,168.67,139.96,147.71,184.75,155.85,170.74,193.3,213.22,201.2,240.09,242.59,235.68,253.18,256.13,302.46,328.65,341.46,284.74,339.13,344.76,364.92,419.83,418.56,478.91,588.54,626.16,619.52,575.03,578.63,608.98,565.58
BLK US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14,17.188,20.25,29,32,42,36,34.29,44.22,41.7,44.6,44.3,41.42,39.4,43.54,45.04,49.213,53.548,61.925,64.873,74.946,79.049,76.954,82.944,91.701,112.559,145.695,145.281,156.044,159.547,164.901,165.923,184.541,231.499,218.863,190.427,210,145.896,142.633,193.316,239.874,257.763,242.853,160.901,192.373,216.63,230.003,221.034,171.984,208.812,241.889,202.285,214.196,250.23,313.1,315.019,334.047,392.811,392.795,401.675,415.057,454.478,467.749,445.071,385.425,443.863,447.074,452.499,481.768,508.767,516.011,571.788,608.806,703.006,745.229,690.098,656.102,551.091
SPG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,23.007,23.689,23.206,22.48,24.343,26.029,32.217,31.958,34.388,36.029,36.27,38.585,37.169,35.141,33.701,33.061,31.116,28.047,29.314,30.414,29.503,31.766,33.277,36.198,43.228,39.496,43.833,49.606,56.93,56.083,54.366,58.202,64.4,72.939,78.552,100.258,89.486,94.485,115.203,109.095,131.915,136.121,142.05,157.443,156.643,172.709,194.572,215.267,181.424,196.908,172.504,186.469,182.002,198.261,110.499,73.918,110.998,151.213,175.194,185.746,179.947,208.055,224.977,244.142,266.644,254.046,300.485,341.852,367.654,360.948,378.67,382.476,383.371,362.558,375.154,407.546,442.756,441.18,492.21,532.626,474.94,508.409,542.58,584.671,615.571,592.03,512.638,501.135,476.498,479.71,517.618,471.039,525.943,552.394,530.773
BA US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,31.623,34.595,39.869,44.204,44.612,48.538,54.868,50.941,54.969,56.529,50.971,54.446,46.678,36.07,34.413,36.001,46.743,45.42,44.304,40.574,45.036,69.676,71.45,60.489,60.527,36.583,42.56,53.172,49.78,37.932,36.863,28.157,38.784,38.999,48.08,47.038,58.784,59.633,60.034,68.105,77.207,79.79,82.796,92.244,97.283,94.012,106.295,106.791,115.929,127.005,106.182,90.742,80.567,70.736,53.054,44.682,53.879,69.303,69.883,94.381,82.047,87.531,86.37,98.41,98.933,81.567,99.498,101.47,101.976,96.094,104.707,120.056,143.995,165.917,193.434,178.858,182.353,183.695,188.546,219.041,203.768,193.562,215.036,190.555,196.551,201.024,239.376,274.3,309.077,399.73,466.234,521.047,535.822,596.893,519.994
PSA US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,16.855,19.403,20.019,21.694,22.193,24.592,33.982,32.036,32.571,33.249,33.234,35.187,32.161,31.082,31.624,29.452,33.239,30.154,28.154,26.332,29.689,31.311,32.105,34.956,39.785,45.938,46.541,52.202,52.986,46.2,47.476,45.146,51.116,59.911,66.922,75.765,72.354,78.61,89.151,91.773,102.669,109.557,111.526,134.59,126.636,144.286,164.451,160.519,131.041,135.086,126.907,154.207,141.504,174.49,142.602,100.043,119.56,138.462,150.952,171.743,165.564,184.17,194.033,213.721,221.577,218.112,265.346,274.972,289.72,281.337,295.327,312.927,317.619,335.221,317.201,358.051,367.128,358.229,402.322,432.263,407.94,472.193,556.556,623.818,582.372,512.612,518.157,512.187,492.614,510.383,503.19,487.349,556.835,499.658,506.351
AVB US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,19.619,21.903,25.255,25.539,27.813,31.078,39.717,40.023,41.749,45.541,44.952,43.279,44.917,41.158,41.714,39.447,46.46,43.203,44.826,48.145,55.574,64.267,68.32,63.304,65.492,67.807,68.093,72.679,69.178,62.957,60.019,57.658,67.712,75.434,78.159,88.759,94.798,102.193,128.977,115.793,141.132,150.95,158.44,195.05,199.206,218.226,237.166,238.676,219.788,219.829,176.876,183.05,170.795,188.533,122.926,97.436,117.688,154.914,176.748,187.784,204.903,230.034,251.081,269.902,290.625,260.113,299.904,326.871,329.493,318.977,320.31,301.758,323.931,307.672,288.798,323.645,353.31,353.16,412.163,442.714,409.314,450.936,478.15,497.43,475.353,472.118,473.936,494.993,521.92,488.428,492.285,457.859,482.648,512.856,496.95
ISRG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,6.292,7.833,5.667,3.25,9.007,4.16,6.687,6.267,5.647,5.327,4.107,4.307,4.993,5.557,5.697,5.657,6.333,8.25,13.34,15.157,15.547,24.43,39.09,39.333,38.333,35.15,31.967,40.523,46.257,76.667,107.667,108.117,89.8,80.327,42.33,31.787,54.553,87.417,101.143,116.043,105.207,94.58,85.917,111.153,124.037,121.427,154.337,180.583,184.597,165.21,163.457,163.73,168.711,125.423,128.027,145.997,137.267,153.94,176.313,168.343,161.5,153.193,182.053,200.35,220.47,241.61,211.39,255.49,311.79,348.627,364.94,412.83,478.48,574,478.92
LMT US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,31.748,33.954,40.152,38.766,43.122,46.485,47.403,43.717,54.13,55.943,51.895,59.479,56.178,53.73,45.356,40.647,40.332,35.6,24.081,22.643,27.613,36.791,38.05,40.075,41.765,49.456,52.882,65.372,79.042,73.678,65.931,54.428,54.591,53.085,59.407,52.999,60.744,65.326,65.328,72.108,76.9,72.65,76.106,90.225,86.51,104.156,111.861,118.297,115.183,133.225,129.744,122.886,122.566,136.723,105.633,87.442,102.863,100.343,97.625,108.704,98.075,94.678,93.879,108.977,110.815,100.421,113.301,127.269,124.821,135.324,135.397,143.446,162.923,193.4,227.492,251.861,250.01,286.48,304.218,323.021,298.203,334.994,353.457,363.276,409.814,398.588,418.418,451.009,470.92,529.484,551.278,583.556,513.408,604.974,461.228
CMG US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,55.39,60.95,49.67,57,62.1,85.28,118.13,147.07,113.43,82.62,55.49,61.98,66.38,80,97.05,88.16,112.67,136.81,172,212.66,272.37,308.19,302.95,337.74,418,379.95,317.54,297.46,325.87,364.35,428.804,532.78,568.05,592.51,666.59,684.51,650.54,604.99,720.25,479.85,470.97,402.76,423.5,377.32,445.52,416.1,307.83,289.03,323.11,431.37,454.52,431.79
GWW US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,29.586,30.522,33.612,34.17,39.596,36.023,41.287,38.194,40.494,46.222,50.626,53.703,52.185,44.285,43.901,45.579,57.141,51.217,51.149,58.231,33.2,28.497,39.734,37.021,45.218,42.865,53.167,62.485,55.855,47.618,57.895,48.369,52.936,54.039,54.073,54.98,66.114,66.546,77.159,72.353,63.936,73.707,83.585,88.877,89.063,79.72,83.536,92.598,112.018,110.233,106.229,93.13,100.189,107.015,97.543,87.304,102.442,112.378,122.354,137.254,126.888,152.691,177.805,177.956,199.49,195.092,245.144,282.237,252.262,275.933,269.068,300.238,337.781,351.795,344.513,342.145,345.799,343.822,349.725,325.002,327.712,299.286,283.57,328.572,321.553,319.92,332.294,334.63,261.312,262.22,346.81,416.351,456.982,531.655,421.966
MAA US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,26.5001,26.2351,26.7845,28.4409,28.5765,28.8636,33.8351,33.4203,34.1679,36.8402,36.1081,36.3026,34.5565,34.6956,31.1097,30.0368,33.2765,31.7468,34.2593,35.3466,38.2413,39.0527,37.7772,38.5964,45.0768,46.8387,48.4834,49.2899,51.5548,49.1526,49.4742,49.1388,57.293,65.3404,74.0761,83.3291,86.5782,90.3629,97.0778,87.2409,110.3097,114.3832,120.8686,138.0895,142.2409,157.8851,148.9829,147.9813,139.5266,133.9922,116.1935,137.4532,142.4889,138.7459,106.4212,90.1108,109.2505,136.5855,148.2524,161.0584,161.948,185.4924,204.1288,208.5098,221.3246,199.3091,209.2364,226.6589,233.0777,225.2422,225.6367,243.2235,241.0534,224.5882,220.6909,250.9988,271.4829,246.4392,283.4091,296.0644,281.8478,320.1398,358.4005,407.0971,427.287,380.3155,399.9517,419.3608,438.0387,448.1456,425.0219,389.4943,434.134,436.0191,420.5819
NOC US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,24.052,28.277,29.927,29.945,32.267,38.22,39.602,36.394,42.459,58.886,55.994,52.495,50.576,36.026,36.264,29.883,33.29,32.084,27.49,27.152,34.163,47.107,43.237,45.514,42.097,53.342,53.47,60.187,66.765,66.469,52.191,46.377,46.855,47.013,52.352,54.108,59.318,59.172,60.56,60.401,62.112,61.386,68.204,77.794,73.31,78.254,78.182,86.151,90.833,91.425,92.611,92.058,79.573,72.423,54.416,53.26,56.249,64.279,69.905,82.649,69.148,77.673,83.617,89.853,100.139,76.067,86.072,90.653,95.563,100.336,102.937,107.747,128.138,148.387,179.485,194.201,189.395,209.75,235.792,258.585,256.113,269.214,307.604,323.75,365.167,352.965,385.086,395.253,428.268,481.789,515.638,588.436,520.509,539.029,417.865
EQIX US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5.7,2.95,7.85,18.64,28.21,36.23,33.94,30.77,42.74,42.34,43.34,41.65,40.76,64.22,54.86,60.1,75.62,85.63,91.47,88.69,101.07,66.49,89.22,69.46,53.19,56.15,72.74,92,106.15,97.34,81.22,102.35,81.26,91.1,101.02,88.83,101.4,157.45,175.65,206.05,206.2,216.31,184.72,183.65,177.45,184.84,210.09,212.48,235.415,243.536,267.332,289.653,335.189,368.723,434.492,405.623,404.558,455.629,490.64,512.502,522.612,484.945,501.539,507.701,415.946
NEE US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,19.7834,21.1735,24.2691,23.9146,24.5696,23.3343,25.0675,24.3022,25.6333,28.8473,33.5617,36.7434,36.3325,40.5008,36.1007,31.5006,32.5967,30.3376,26.0888,28.4464,30.9083,41.4727,45.6122,39.3053,38.9808,35.021,37.2632,39.7763,40.4632,36.6538,41.3754,40.9802,46.9003,44.7686,46.7794,48.2534,46.6126,50.2923,55.5393,60.1972,63.6086,72.5839,63.8983,62.2862,64.8012,71.0796,86.5727,97.9859,91.5115,98.8745,110.7369,103.2117,108.6179,83.9206,84.7496,86.2744,97.5182,95.5151,92.1757,85.2363,86.8605,97.7991,94.3971,101.1033,106.4167,101.0277,115.0286,116.57,132.5285,136.6556,135.6372,153.6777,162.6006,161.2686,173.5886,195.4167,211.009,194.7478,222.0458,218.979,207.8851,208.4341,223.7001,256.7255,284.9424,269.1984,264.9136,286.808,315.2688,331.8776,355.9478,374.891,386.024,389.8626,406.8652
WELL US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,21.6328,16.8312,19.9458,25.1275,24.9981,27.6943,29.836,29.5396,30.9184,35.6072,37.2541,37.1225,35.1003,37.4612,37.299,31.6884,35.0915,30.9684,24.1732,23.1677,27.905,31.4659,29.7595,39.2613,45.9461,49.912,49.3534,57.8009,63.3059,58.9692,59.5383,58.9982,70.0869,72.217,85.7607,98.2279,80.0846,88.3805,97.3698,83.1501,99.7532,99.7564,92.8185,106.0676,99.118,115.4943,127.1518,130.5892,121.8584,135.9972,139.4277,142.9521,142.9349,173.3413,139.8435,103.304,117.6015,145.8947,157.8218,163.7719,155.0566,176.9159,180.4438,201.4615,204.2332,185.1546,218.8218,223.4161,240.1134,240.6824,258.6791,290.1309,289.2962,272.4772,236.9089,267.2994,284.5425,286.7488,351.8382,363.5375,311.9409,325.7798,331.6958,342.6894,380.8448,378.0542,342.8812,367.6338,393.3969,373.8518,343.5621,297.9436,348.5169,362.4871,396.1351
FRT US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,22.442,24.679,24.447,24.343,25.055,26.622,31.207,30.088,32.044,30.399,31.597,30.672,30.586,29.303,31.174,28.554,31.497,28.751,27.044,28.421,30.098,29.459,29.981,31.608,34.266,36.347,39.657,45.094,49.54,49.155,52.079,57.145,61.138,71.378,75.271,91.581,83.398,89.249,105.779,100.02,123.187,128.43,129.401,162.133,152.162,162.763,187.474,201.126,172.746,199.466,186.335,178.282,159.146,198.885,145.821,109.607,124.382,149.698,166.779,180.968,176.254,206.498,198.753,209.742,220.75,215.308,238.891,256.617,277.853,283.008,281.538,294.452,284.616,280.575,282.623,321.991,341.593,337.088,382.196,424.072,371.366,398.364,429.243,461.26,492.276,460.632,428.237,405.396,386.843,383.24,412.86,364.009,399.947,402.882,379.277
REGN US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,9,15.625,12.75,12.75,17.375,20.125,16.125,8,10.125,11.188,8.563,7.375,9.219,7.688,7.375,6.625,7.813,8.125,12.75,29.563,29.813,32.625,35.266,22.188,34.65,22.24,28.16,24.99,14.51,13.5,18.51,7.52,15.76,17.67,14.71,13.58,10.53,8.68,9.21,5.11,8.39,9.49,15.9,16.63,12.82,15.69,20.07,21.62,17.92,17.8,24.15,19.19,14.44,21.83,18.36,13.86,17.92,19.3,24.18,26.49,22.32,27.4,32.83,44.94,56.71,58.2,55.43,116.62,114.22,152.66,171.07,176.403,224.88,312.87,275.24,300.28,282.47,360.52,410.25,451.48,510.13,465.14,542.87,360.44,349.23,402.02,367.09,387.51,491.14,447.12,375.96,344.36,344.99,404.04,373.5
DTE US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,30.5936,34.0126,36.9429,36.5615,34.1834,31.5679,37.1168,31.3882,32.8767,36.8185,42.6143,48.9518,50.9054,57.6655,55.6216,50.262,53.9167,48.7825,43.1016,40.4223,42.963,54.5561,56.2681,58.2867,68.7866,64.5256,63.6489,69.8483,69.3441,64.062,73.8561,62.3314,63.1171,61.1305,66.1628,69.9663,69.8133,73.5642,76.0803,81.1307,84.3467,83.6299,79.6817,74.8541,77.0308,79.4745,93.6922,93.7622,95.3699,96.8582,88.8596,79.6853,88.018,84.2221,76.0338,60.2839,70.8127,78.9274,99.1283,102.616,106.0902,108.1159,107.9961,118.0529,122.0543,121.0171,135.9555,138.8789,151.1984,154.3508,156.2003,179.4237,177.6507,176.6642,179.5434,202.7513,214.3983,211.3412,241.9267,228.0046,212.8545,231.3359,232.9253,265.4861,292.5157,278.7376,295.6414,308.9684,322.4921,329.7007,338.7697,325.8976,326.4352,346.4617,352.9753
ORLY US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,3.516,3.781,3.625,4.344,4.531,4.313,4,4.594,4.813,5.688,6.563,6.891,9,9.063,11.813,11.188,12.594,11.914,10.75,7.094,6.938,7.313,13.375,9.969,14.35,14.325,18.235,15.785,13.78,14.31,12.645,13.535,16.735,18.4,19.28,20.02,22.6,19.145,22.525,24.765,29.83,28.18,32.01,36.56,31.19,33.21,32.06,33.1,36.55,33.41,32.43,28.52,22.35,26.77,30.74,35.01,38.08,36.14,38.12,41.71,47.56,53.2,60.42,57.46,65.51,66.63,79.95,91.35,83.77,83.62,89.42,102.439,112.62,127.59,128.71,148.39,150.6,150.36,192.62,216.24,225.98,250,253.42,273.66,271.1,280.11,278.41,269.84,218.74,215.37,240.54,247.38,273.57,347.32,344.33
MMM US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,28.066,27.814,32.986,32.349,34.772,36.795,44.043,45.188,54.917,49.929,44.574,49.738,45.179,40.794,39.64,39.721,49.115,54.588,55.925,50.922,48.038,53.059,70.589,61.193,67.521,58.549,70.699,69.149,74.313,66.76,75.213,79.734,79.514,85.552,105.772,102.302,112.965,100.816,103.917,109.043,92.499,94.404,100.267,98.543,105.729,98.054,103.257,101.908,116.367,126.147,114.329,107.99,95.57,94.476,80.258,70.1,85.478,105.719,119.202,121.289,115.371,127.442,127.632,139.104,141.939,108.161,124.007,136.274,137.816,143.058,144.676,166.672,172.421,189.337,223.474,217.578,231.131,229.966,268.149,270.855,254.971,235.912,252.305,281.118,297.407,301.14,307.107,331.18,362.537,367.634,414.335,388.671,350.667,378.124,344.269
