,Date,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,
AES US  EQUITY,HISTORICAL_MARKET_CAP,1425.8929,1432.087,1778.6875,1866.0478,2122.0552,3035.9699,3594.4501,4490.92,6169.0462,7640.7623,8159.375,9202.3895,9245.0601,6682.8507,8546.4497,7108.79,11161.569,12176.6562,15458.3,16361.9662,20840.3138,31423.2073,28905.75,26582.467,22916.5482,6833.7523,8714.55,4808.664,2941.5478,1364.9405,1685.16,2062.1366,3935.2601,4620.345,5909.44,5399.49,6404.85,6473.52,8886.7768,10688.1288,10713.2302,10757.1984,10382.6253,11221.7868,12101.0383,13527.2217,14659.3839,14354.0737,14623.1982,13403.2578,14338.5695,11192.7167,12919.6207,7865.7002,5461.3628,3871.7832,7741.8758,9980.9441,8886.8196,8746.9221,7350.3764,9013.2064,9593.0562,10200.3711,9966.1621,7517.7406,9059.806,10030.3639,9616.8049,8160.3163,7963.6232,9383.1838,8934.2777,9864.4396,10483.596,10357.4072,11246.0944,10152.3189,9692.0324,9032.255,9051.3705,6602.9739,6381.3601,7776.1724,8224.334,8470.4108,7659.6975,7380.0163,7334.7301,7277.46,7152.0034,7519.7138,8871.1017,9272.1647,9576.8305,
AET US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3696.7555,4140.7747,4759.3355,5664.731,7211.9055,5390.8732,6166.602,7486.7951,9263.4955,9311.3,10307.5721,13672.6101,13053.1095,14754.8637,18276.2288,21768.8965,24013.8644,24636.9707,26713.3075,27862.38,21869.661,20645.1,22280.88,22433.617,25263.16,27156.708,28651.399,20405.232,19113.948,16650.321,13004.55,10873.077,10934.325,12064.305,13656.36,14918.239,11011.012,12647.161,11728.044,14204.685,16441.161,13165.982,14753.843,17425.584,12956.934,13246.2,15171.156,16663.267,23643.234,23527.35,24843.298,26794.278,28750.968,28487.7,31072.734,37200.276,44432.556,38151.267,37787.94,39389.91,42843.204,40511.405,43614.317,42308.335,50422.743,51853.161,58951.452,55279.9,60077.9,66413.09,,
AMG US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,513.416,617.427,656.3329,315.576,695.5664,605.358,702.8556,614.869,906.5234,1053.835,1005.9325,1266.1192,1209.5547,1037.901,1362.9015,1260.945,1565.3608,1589.3825,1345.5585,970.4691,1093.1699,874.0508,1294.1514,1339.3356,1484.981,1582.4379,1460.3774,1587.461,2254.7259,2078.6466,2342.3372,2458.5501,2696.3197,3338.9556,2651.4325,3020.8016,3111.4275,3227.7804,3804.4659,3813.0627,4583.759,4155.4719,4124.3311,3794.1465,1919.7264,1721.358,2425.2911,2733.9215,3084.2932,3519.3495,3105.2047,4023.1183,5347.958,5693.0574,5281.0802,4017.2362,5171.705,5742.6707,5620.0526,6371.5738,7015.085,8098.9343,8664.5898,9676.0557,11689.832,11058.9713,11410.5287,11134.5297,11842.992,11984.724,12197.88,9541.242,8914.608,9061.92,7854.966,8204.49,8500.05,9590.49,9702.81,11105.055,12007.125,11090.43,8697.195,7998.12,5700.24,
AFL US  EQUITY,HISTORICAL_MARKET_CAP,4266.8063,3935.6525,4117.2751,4387.0001,4200.5742,4920.5131,5894.5835,5121.2626,6466.0208,7380.4955,6810.9748,8453.8051,8081.4644,7567.0917,11656.8855,14516.0316,12708.0358,11118.2731,12539.6534,12082.4004,12183.1303,17135.8358,19101.1734,14465.1647,16545.5073,14130.963,12810.8644,15270.439,16555.808,15810.5059,15494.9027,16501.5514,15793.0155,16551.1014,18447.8926,20404.9683,20733.4797,19846.4552,20063.7427,18704.0356,21690.7242,22662.8199,23158.6595,22494.191,23041.6974,22635.9162,22657.3,23004.4339,25108.0262,27821.3741,30471.3739,30857.1605,29894.4956,27997.4888,21389.6316,9049.3286,14534.0776,19992.789,21671.27,25484.9204,20087.7132,24357.6852,26502.9702,24678.0279,21802.6876,16309.0331,20172.5706,21498.6234,19936.8049,22442.5051,24848.7923,24242.6205,27015.3384,28869.3629,30688.7884,28621.9251,28196.1375,26241.5668,27028.9651,27765.6817,26784.3774,24854.4697,25420.362,26215.9174,29593.8984,29324.4693,28244.376,28823.3048,30761.2023,32057.4863,34274.1399,33947.1263,33094.0814,35919.7289,34410.8302,
A US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,29916.75,40082.6063,18460.3441,21024.7641,24916.8029,17830.4177,13177.766,10267.1605,14078.1505,13950.652,8811.4092,8811.4092,7766.0848,7550.2899,10332.7888,11865.6328,17720.6295,12991.81,11571.66,12204.22,10856.01,10188.25,12962.56,16101.03,14581.3,16366.92,11631.96,14524.8,12960,13610.52,14764.05,13634.5,12460.48,10875.6,12873.42,7766.5,6237.6,6263.18,8010.9,8560.04,9754.44,12618.48,9663.78,12040.8,14431.35,17368.68,14629.52,12863.29,14779.56,14678.64,13363.21,12452.54,15538.66,14296.8,14805.63,16903.08,19422.1,17995.32,18677.97,18518.8,12690.72,13776.21,13595.4,12536.32,12349.2,13299,15587.64,14116.68,15768.34,17671.05,19252.38,21905.66,23715.1731,21168.28,21066.76,20603.22,24183.9
APD US  EQUITY,HISTORICAL_MARKET_CAP,6230.3968,5827.6794,5899.138,6119.6387,6426.9738,6431.033,7605.6164,8123.3282,9717.3945,9869.5625,9679.5601,9705.6358,9257.5815,6840.252,9172.1925,7853.6898,9229.5187,6231.5457,7150.3228,6058.4672,6585.001,8254.9869,8797.001,8224.704,9856.5173,8312.5624,10130.7305,11735.055,11467.7625,9180.6605,9364.5158,9090.4463,9149.5456,9986.1989,11778.6598,11230.9898,11793.1727,12277.6323,13180.0898,14505.2618,13460.6397,12235.4686,13160.4755,15033.5906,14147.5067,14418.9205,15211.9654,16018.5797,17365.8133,21053.1718,21151.0156,19381.0124,20942.3066,14337.3286,10539.271,11802.869,13569.1761,16389.5713,17197.0695,15703.493,13774.4818,17707.1533,19546.9554,19108.8398,20371.2487,16051.848,17941.4631,19409.4568,17091.0605,17571.7553,17444.6247,18149.7704,19197.2617,22505.3734,23660.795,25269.2749,27398.0823,27798.3956,30904.7455,32489.612,29416.0488,27475.5156,28058.2681,31126.4951,30758.72,32676.523,31293.7869,29455.9464,31180.9812,33018.2933,35923.5608,34858.3666,34147.3058,36670.0217,35151.9689,
AKAM US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30304.9851,15084.213,15084.213,12570.7646,5634.8213,2279.0257,935.1448,1055.7764,335.4677,683.6881,463.0077,151.3161,96.8129,203.0761,166.1586,567.9596,511.132,1311.375,1612.4357,2250.6787,1768.0379,1651.8392,1621.7995,1822.8422,2227.4583,3047.7373,5073.1279,5620.1495,7809.6182,8515.0787,8189.5798,8036.8795,4759.2043,5750.9573,4704.4333,5876.4492,2949.9688,2555.8186,3350.7704,3314.3445,3369.6595,4339.4333,5392.6979,7368.6453,9155.2627,8779.689,7103.4478,5852.8466,3568.8489,5729.8493,6570.8637,5647.4124,6784.7185,7273.0949,6281.3232,7578.7935,9239.1747,8425.4372,10391.5296,10885.1878,10656.0597,11225.806,12694.622,12483.1137,12308.8127,9326.6771,9783.1106,9793.9139,9202.8042,11552.6299,10339.4063,8568.6735,8269.0755,11049.8618,12105.5069,12398.6513,11988.3135,9950.2099,
ALK US  EQUITY,HISTORICAL_MARKET_CAP,245.2983,213.5857,220.4313,370.0328,395.9794,309.2107,303.954,373.0744,373.5356,484.8076,708.4663,1100.7648,1429.9195,892.8803,1160.412,1252.2425,1101.2815,1074.2721,927.6795,794.8224,717.2935,634.68,787.0958,680.4846,765.6188,529.7642,771.9755,883.7163,692.9289,469.9173,575.3054,416.65,571.4494,742.7105,730.335,660.9866,640.814,666.2599,908.4504,800.2675,810.152,802.1432,1194.9769,1187.7877,1572.0302,1522.4749,1591.613,1540.7259,1127.6892,930.8041,951.6555,714.168,552.5315,738.3015,1061.0438,639.302,652.6307,944.3743,1230.025,1473.3953,1605.1645,1834.4775,2036.5316,2275.1925,2468.873,2006.4571,2663.8009,2550.2256,2538.988,2459.9753,3032.5252,4508.7215,3640.485,4361.5169,5043.8906,6418.6603,6498.4751,5811.2194,7857.3328,8632.7843,8248.6454,10066.4317,10077.8654,10163.3626,7174.3052,8118.2988,10942.898,11410.3057,11087.2016,9410.7385,9046.1875,7642.7737,7440.2719,8494.6279,7496.3811,
ALB US  EQUITY,HISTORICAL_MARKET_CAP,1032.3125,1238.775,1280.2419,1267.2081,1026.4712,942.5257,997.7088,983.9651,1164.2508,1396.2187,1280.082,1341.28,1164.8338,884.1311,1116.44,984.6487,1087.7281,943.3594,886.4625,949.852,904.4908,925.1326,1134.1366,1029.8264,1062.8774,864.8262,1091.952,1145.0078,1281.5062,1054.0367,1186.1374,1003.1469,1152.7836,1129.2381,1233.3554,1202.659,1315.1525,1461.7442,1621.8794,1693.3727,1699.1156,1757.6081,1777.4458,2144.2388,2268.4586,2579.7958,3405.474,3951.9387,3680.6553,4231.9732,3907.7775,3339.6079,3653.0421,2812.3921,2028.854,1989.7127,2340.6522,3172.2318,3328.1823,3893.9947,3623.1801,4280.7277,5109.1133,5478.9964,6348.2696,3585.7424,4576.1999,5699.6825,5336.8258,4702.2168,5522.4059,5506.8241,5068.2258,5123.0642,5074.5597,5283.3125,5593.731,4608.8661,4692.004,5927.8554,6200.9071,4948.1072,6285.3862,7179.1472,8913.7302,9614.7183,9686.0659,11699.8413,11650.6661,15061.5735,14137.8558,10271.5114,10229.2395,10595.3389,8139.8251,
ARE US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,250.1891,325.7448,366.2712,361.3842,375.8543,341.1954,389.3875,359.5189,425.3694,404.5007,437.2946,428.7907,493.7557,533.1084,578.1913,610.4702,646.9997,642.9406,672.1716,672.1716,672.1716,672.1716,808.2924,799.2285,860.6497,920.3391,1115.3856,1220.814,1100.7939,1283.8402,1458.2166,1363.0038,1561.4163,1859.6057,1806.5242,2171.7527,2359.1892,2745.6407,2912.8184,2958.3074,2862.5227,3068.5697,3213.112,2974.4586,3126.009,3625.6737,1924.7879,1433.1252,1411.1844,2400.8445,2818.8626,2994.5209,3168.291,3873.7584,4026.8769,4292.2274,4752.0603,3773.2651,4245.8258,4507.3416,4526.818,4643.6097,4384.1188,4494.2617,4665.9485,4526.965,4527.9752,5169.6229,5537.1358,5263.6721,6341.7044,7014.2851,6269.9028,6078.5347,6555.4999,6623.4753,7931.2051,8356.1563,9742.3092,9934.0076,11095.1062,11221.7916,13030.7516,12575.9685,13039.1796,13309.0341,12793.0017,
