Unnamed: 0,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
INTU US  EQUITY,PX_LAST,7.62725137,6.867103638,11.78157533,6.271293947,6.487234422,4.449853049,4.740704501,2.411816281,2.385234264,3.339892787,3.844848485,3.803097684,4.3203082,2.341803198,4.056236587,3.669081616,3.078785456,3.39084507,6.6223659,4.894650591,3.728783765,5.188195376,3.63511057,2.412207988,3.525354427,3.217875789,4.073928837,3.40195287,4.203110973,4.00434592,4.610093697,3.534814754,3.738305873,4.519299101,5.238514573,4.244547966,3.505583017,4.370084489,4.625617896,4.367458155,4.097808753,4.372052697,5.75584525,5.49074882,5.69340834,5.86384428,5.453330493,4.76296478,4.783964979,4.660011333,5.23585583,4.451846824,3.970845299,4.53951259,3.621338084,3.932759845,3.230188492,3.319826814,3.94677875,4.383286738,3.519205037,4.497947286,5.455831914,6.643982322,5.150122681,5.030392867,6.157484697,7.406282736,5.735094112,5.91233885,6.006821518,6.547806309,4.773078649,5.305653336,9.242556133,9.351024964,6.721681342,7.732991418,8.593285292,11.09308987,11.50251191,10.18219925,23.46085163,40.98175464,22.29661435,23.82112557,30.78465299,37.10344378,19.72939915,26.47198776,33.1636665,38.03550086,22.03371067,24.8711864,18.32445394
ISRG US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.611525657,4.437457512,3.34237688,1.965052301,5.687314517,2.741170269,4.640849469,4.657401902,4.376501589,4.439166667,3.551846407,3.843819723,1.950847855,2.211917367,2.025023993,2.001769285,2.21232446,2.805263695,4.350378294,4.780935558,4.68085747,6.823831737,9.587226841,9.202639152,8.408941342,7.165572634,6.032306154,7.080355739,7.364122648,10.9822375,13.98254568,12.78628617,9.741386792,7.964760592,3.927991463,3.071682579,4.883448214,7.203945742,7.599023291,7.572285265,6.461989202,5.552457159,4.921241351,5.874273333,6.357676655,5.997016975,6.877946826,7.347193686,6.943260677,5.989385074,5.506253853,5.234569322,5.403212893,4.391700019,4.190297579,4.599591069,5.252570475,5.435465761,5.728577091,5.183548669,4.726575647,4.165603918,4.728870441,4.820648303,4.914458946,5.061697358,4.258675397,6.833695315,7.673584107,7.875710758,8.57594721,8.50878332,9.28287069,10.43702781,8.21051224
IVZ US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.439032878,1.137465905,1.104444742,0.918857793,0.699608248,0.717853534,0.848507558,1.084165232,1.100154141,0.987567584,0.706829644,0.880151909,1.027295603,1.091387475,0.997268707,0.685756432,0.86524063,1.132474671,0.97836102,1.067194583,1.115667741,1.273761866,1.4076135,1.362189711,1.55420064,1.610425921,1.598600332,1.704037434,1.732900301,1.808784634,1.660259743,1.417519158,1.548957214,1.43413689,1.218535671,1.485186887,1.482440941,1.489340694,1.65988884,1.599343861,1.607791734,1.40194702,1.186263319,1.016008787,0.762354422
IPGP US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.485170012,3.628747088,3.681780893,3.511222575,3.555459724,2.839528293,3.419566934,3.165450999,1.936284841,1.092718358,1.280869586,1.707731772,1.778688349,1.133161472,1.149476558,1.679217704,2.163750493,3.797794289,4.544148751,2.533967423,1.876201082,2.78804736,2.19650984,2.854163836,3.335151445,3.238801239,2.75461976,2.4485628,3.258610482,2.797367924,2.569637935,2.433458462,2.56146385,2.972573441,2.52511777,2.078477078,2.364409746,2.406861861,1.97866015,1.993401321,2.369419107,nan,nan,nan,nan,nan,nan,nan,nan
IQV US  EQUITY,PX_LAST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.875272604,-8.127195683,-9.002078598,-11.80148768,-10.89864202,-13.28253363,-10.37905501,-13.66427945,-12.68984079,-21.0888478,-14.53552375,-17.91069414,-16.88553407,-30.87764742,2.187331025,2.653840704,2.97621027,3.618791681,2.548218329,2.48626485,2.744916872,3.637750281,3.417277297
IRM US  EQUITY,PX_LAST,nan,nan,nan,1.763572294,2.412118561,3.388384556,3.633119854,3.0003463,2.132895539,2.563537453,2.182794457,2.273729792,1.588473889,1.597363529,1.944147844,1.774969352,0.485314219,5.094224344,1.844602645,1.209662511,1.221358157,1.365052227,1.382039466,1.427821274,1.685115824,1.620600645,1.724598195,1.854901378,1.77144593,1.411338703,1.844471245,2.071605391,1.960384744,1.860222364,1.970161528,2.160939325,2.281390045,2.332983316,2.016325845,1.858407723,1.949379433,2.22799445,2.520328763,2.37818074,2.095318678,2.346810381,2.175254977,2.038564259,1.963644588,2.20487108,2.568708318,1.797958609,1.747159302,1.610024192,1.719507729,1.53338884,1.856495652,1.643110524,1.335485509,1.615701245,1.339834766,1.429113697,1.621459361,1.964860077,2.152831124,2.227186822,2.763460639,2.563145618,3.013127263,3.035896075,3.551736357,4.331297682,3.315975186,3.47016443,4.00360776,3.67639629,3.882910528,10.59535951,7.372347724,8.15023381,7.377736141,8.775707432,9.287951157,12.18120118,4.022594856,4.017494049,3.880953678,4.415821107,4.436832208,5.111028518,4.339926063,3.950868624,4.709355561,5.010710909,4.925007978
JBHT US  EQUITY,PX_LAST,1.524567732,1.257258833,1.455188781,1.713807028,1.788642999,1.338135171,1.187822755,1.19471002,1.28531121,1.352613358,1.634391356,2.449298881,2.945483549,1.170248319,1.816372185,1.623064958,1.230137482,1.044058075,1.036013638,1.019578154,1.127542036,0.90989441,1.199002124,1.084342092,1.284810127,0.881764424,1.541135464,1.851522335,1.758751795,1.361584083,1.650854951,1.488447465,2.014471382,2.624848987,2.603951146,2.591079118,3.366500453,3.051744862,3.596846165,3.684877276,3.108978246,3.18922151,3.657818442,3.328906993,4.393884341,3.697463471,3.977851581,4.702079232,6.245468241,8.168314734,8.825117967,9.350682078,8.709722099,7.753692396,5.596296826,5.158135545,6.562696597,6.929606329,3.715260168,6.19289244,6.452280187,6.603799017,7.966946529,9.019133613,8.762204187,7.870047618,8.651784243,9.435261554,9.198836481,7.396666566,8.362072548,9.435520468,8.862514597,8.30535021,8.497869285,7.928088378,8.154430497,8.205243411,7.821729284,7.9485899,7.659427443,6.678890115,6.230515782,7.175572653,6.911810582,6.948509438,7.487004502,7.092456157,7.082798086,8.631883442,6.788045683,6.56044285,6.493546999,6.212849804,4.801722711
JEC US  EQUITY,PX_LAST,2.400714126,2.597684948,2.512351515,2.712524055,2.431744475,1.99829271,2.014192558,2.032195685,2.145114427,2.381400674,1.909922113,2.343012758,2.255168255,2.090698444,2.652697162,2.469547178,2.27830501,1.851782801,1.885708861,1.777970433,1.755913128,2.099231113,2.315697734,2.789460225,3.058198623,2.771000963,2.832256819,2.921717849,2.710781345,2.398278299,2.640666242,2.948161543,2.815130986,2.924556076,2.9754623,2.6505147,2.266155132,2.112560365,2.551898485,2.669779376,2.783250035,3.286744321,3.170872228,3.877436282,3.443057336,3.029497596,3.146565126,3.437632804,4.027360868,4.819849369,5.694037622,4.155854805,4.326460801,2.902736409,2.458602721,1.884041938,1.950635479,2.125965701,1.685025013,1.96675671,1.592043602,1.666753276,1.920942826,2.09659522,1.716087701,1.21801414,1.481474983,1.577739075,1.312821549,1.380149048,1.416053007,1.817628727,1.731598589,1.777796525,1.879032455,1.85733427,1.539782919,1.40749672,1.275020275,1.278595788,1.132918667,1.050400443,1.169899936,1.188812067,1.339888931,1.434317798,1.659438798,1.586773811,1.522194014,1.562073362,1.572848832,1.399289583,1.499835908,1.853777275,1.423124417
SJM US  EQUITY,PX_LAST,1.454044294,1.342049706,1.358271273,1.376144944,1.204333686,1.033225644,1.049188577,0.983110154,1.265273312,1.601036851,1.347469728,1.485933032,1.391149797,1.190030592,1.34802511,1.198881998,1.163019926,1.088057739,0.996130082,0.931278963,1.011281053,1.067965325,1.65883774,1.525236755,1.495309086,1.491924319,2.04259315,1.882882173,1.635755235,1.034033658,1.107859779,0.961130015,1.092330577,1.15005875,1.210838816,1.389182036,1.201811898,1.013960878,1.046177729,1.12058943,1.048866792,1.08641456,0.970293418,0.871658647,0.974690219,1.047361015,1.050364834,1.158510625,1.363197986,1.133325439,1.056559627,1.053297729,0.855065295,1.171104083,1.21535537,0.699138606,0.915986249,0.990161936,1.138469808,1.096486741,1.085427001,1.087972038,1.164150775,1.269307534,1.36384621,1.297981915,1.39009769,1.442415497,1.368128547,1.558665891,1.559437409,1.766912564,1.852455456,1.899081086,1.849913841,1.7245916,1.91370194,1.771542773,1.79016374,2.038553165,1.663258316,1.751899057,1.878033002,1.962552997,2.351942541,2.078011357,1.951678318,1.99147487,1.86267415,1.645110963,1.933554302,1.751469092,1.51128734,1.449404296,1.31407095
JNJ US  EQUITY,PX_LAST,2.946623094,3.123619025,3.564288374,3.653621891,3.779913028,3.764820408,3.61427412,3.736169401,4.354075691,3.781208142,4.296038311,4.636487764,4.509891087,4.569735801,5.024474972,5.386449659,5.455871627,6.229627989,4.908199475,3.509793112,4.875353976,4.384542487,4.835043013,3.799677392,4.184876193,4.470197401,4.689217227,5.242893035,4.52340066,4.633893885,4.492512914,4.590538538,4.051391082,3.70068843,3.715784823,3.454873045,3.616397231,3.5062782,3.93227367,3.955238381,3.683306976,3.441201405,3.126709697,2.914597564,2.956316343,3.203244118,3.366520232,2.969955382,2.901136806,3.059678366,3.107985838,2.865876628,2.791491771,3.054088066,2.849558675,2.443061182,2.515931533,2.499042051,2.650107803,2.587612317,2.365018734,2.305039711,2.341750711,2.13969744,2.336366564,2.272190348,2.537932483,2.414126364,2.539699156,2.488431743,2.526295036,2.897340858,2.961757066,3.013811552,3.022385075,3.164853748,3.32454532,3.452098527,3.715165831,3.688739122,3.426500471,3.285545225,3.646604167,3.784520865,4.261371148,4.137811051,4.174302406,4.528032979,4.717805314,4.535892774,6.025612442,5.289251292,5.074874498,5.66271413,5.71212155
