Unnamed: 0.1,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018
CI US  EQUITY,RETURN_COM_EQY,1.67933134,1.676255619,1.721730376,1.705087544,1.701471952,1.727832323,1.717531529,1.701655109,1.60982363,1.664277997,1.644748384,1.745587414,1.769371022,1.801185131,1.840051246,1.781200912,1.745047604,1.792061281,1.758844639,1.760615255,1.766010191,1.747293001,1.754415075,1.692659332,1.668508221,1.687642205,1.674616375,1.669238437,1.676385313,1.590144151,1.556839403,1.591052061,1.587272287,1.601227216,1.627484208,1.615075817,1.565706392,1.601372171,1.629994225,1.614070053,1.645028264,1.601907483,1.58961729,1.623141161,1.573039028,1.494657252,1.450223891,1.358559317,1.44658573,1.494736462,1.556853705,1.456606897,1.401199275,1.421156235,1.33239565,1.34989424,1.381177256,1.42824505,1.435404426,1.470152091,1.431379319,1.465679915,1.484163763,1.449406943,1.483495833,1.514001285,1.280556754,1.30630925,1.337440345,1.368061313,1.404749305,1.387639352,1.41650314,1.419794641,1.464060789,1.480924591,1.516780157,1.548197142,1.510464467,1.467001748,1.541891706,1.564965037,1.600503429,1.590273281,1.645374005,1.666189682,1.662457128,1.681080304,1.690267469,1.661627222,1.634767562,1.617343447,1.624376147,0.889672412,1.226253701
XEC US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.831468977,1.863551469,1.903445346,1.898587497,1.937626575,1.670378171,1.93845693,1.867144568,1.919345792,1.941137765,1.919929248,1.652970635,1.693181676,1.746150816,1.77681569,1.744514485,1.75150424,1.741280523,1.733410111,1.775990991,1.797038376,1.819747835,1.836881231,1.838289188,1.776192445,1.693883675,1.581163931,1.560420514,1.655319296,1.715375213,1.748021228,1.765168617,1.80252417,1.81199112,1.822213639,1.857710256,1.880736534,1.824792599,1.736694456,1.732051574,1.708011855,1.675036944,1.641867063,1.656185721,1.685951,1.747933194,1.741920967,1.646418974,1.679238471,1.625501436,1.602063732,1.620406983,1.566652448,1.523833127,1.486847257,1.463866714,1.458358602,1.391598949,1.430512718,1.461246903,1.479446694,1.503883998,1.508941582,1.523780875,1.523769783,1.556586107
CINF US  EQUITY,RETURN_COM_EQY,1.844060631,1.853075805,1.842597348,1.836534008,1.813327729,1.817289656,1.804336987,1.799985733,1.854979925,1.848157049,1.876962993,1.911758022,1.903986586,1.93495517,1.985212298,1.913652248,1.878060073,1.882847895,1.886869471,1.870413959,1.892601761,1.889947935,1.893425378,1.8598196,1.840036328,1.854400295,1.899690141,1.881580472,1.878888518,1.809820641,1.832153369,1.812371133,1.811310386,1.841068893,1.869965669,1.841758041,1.79201741,1.839395737,1.798635804,1.777760049,1.792793927,1.745937204,1.752448868,1.779374113,1.751214181,1.75991745,1.770252547,1.780342274,1.814626154,1.839397453,1.824764209,1.820899748,1.785258104,1.737846271,1.736617367,1.73232633,1.72045332,1.747608106,1.732128707,1.739865126,1.742347301,1.771639523,1.775378948,1.782160861,1.802769313,1.793749191,1.766475798,1.733821418,1.784020154,1.789048559,1.714497573,1.710644405,1.722434143,1.754760749,1.829318519,1.843817768,1.883536424,1.902337773,1.785535496,1.776466653,1.797176018,1.789682376,1.816312755,1.768872574,1.828070427,1.846057176,1.845278439,1.841373274,1.843407975,1.860731907,1.842862309,1.787827377,1.782729644,1.749446785,1.745879828
CTAS US  EQUITY,RETURN_COM_EQY,1.543018765,1.564724031,1.57071934,1.601276796,1.602726867,1.617522292,1.634400781,1.644991001,1.67378543,1.694646156,1.721652376,1.701896269,1.66907695,1.737912889,1.799232391,1.770039694,1.629408096,1.68244688,1.702754166,1.72808663,1.754644841,1.759103453,1.774822144,1.770746699,1.754294383,1.779111534,1.831601265,1.831184154,1.494795913,1.511053725,1.571184247,1.594655572,1.608036773,1.638297669,1.677903518,1.662680419,1.637472696,1.668491263,1.680752527,1.674848249,1.681257748,1.621460487,1.65993041,1.588449507,1.479842527,1.438355441,1.483737384,1.449998698,1.496255019,1.53507433,1.487835977,1.503897515,1.526067516,1.518796256,1.585265353,1.621830012,1.598931277,1.600306872,1.590921705,1.59373974,1.602657798,1.602231226,1.593727583,1.597545988,1.320194601,1.275078218,1.308397591,1.330644455,1.311457184,1.299228986,1.313316844,1.335841026,1.357196873,1.354976806,1.339958744,1.385241428,1.373185264,1.419836586,1.41394826,1.403194896,1.370795832,1.369408286,1.417620127,1.424053684,1.414752574,1.480352475,1.525764639,1.539497337,0.945299273,1.111980682,1.12538267,1.251339962,1.314969148,1.36926143,1.304483824
CSCO US  EQUITY,RETURN_COM_EQY,1.994226308,1.996941133,1.986555344,1.965263807,1.958726409,1.958420569,1.929774416,1.911089783,1.969922667,1.948649388,1.958919347,1.990357771,2.010977476,2.051930411,2.083957822,2.006468462,1.969639771,1.991077164,1.995963395,1.993624121,2.026902951,2.000546357,1.997073262,1.96173991,1.931315368,1.948033003,1.998401775,1.967223006,1.970643191,1.903488408,1.926660009,1.912368571,1.898587497,1.937626575,1.970367333,1.93845693,1.867144568,1.919345792,1.941137765,1.919929248,1.943282488,1.887140813,1.89294971,1.927106798,1.618415405,1.609339878,1.624403385,1.654407927,1.697788424,1.755477053,1.769671519,1.765363569,1.757174749,1.721870275,1.740869028,1.759375044,1.650942618,1.660212884,1.650318051,1.545215812,1.563327713,1.572768184,1.578885205,1.589796873,1.570599246,1.585465684,1.580910943,1.571380313,1.629639783,1.626107199,1.59284771,1.601620292,1.619166842,1.650729368,1.698343791,1.679082392,1.618899791,1.646713845,1.592825527,1.610701776,1.620769622,1.575665545,1.612471516,1.592042358,1.588535863,1.598173542,1.525584952,1.523441863,1.56698063,1.561484659,1.525924995,1.369386018,1.468405876,1.465696676,1.480093181
C US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,0.251641076,0.266230797,0.25295087,0.255043487,0.27053647,0.270231044,0.275234316,0.287197401,0.262825606,0.260978507,0.273937046,0.272048881,0.265698866,0.268916988,0.265811561,0.267422514,0.256007826,0.245379636,0.252097026,0.264153627,0.258826923,0.257478392,0.26361298,0.258576234,0.25079057,0.245990966,0.257071342,0.267670373,0.263122023,0.243257604,0.255538472,0.258184865,0.24958894,0.264480039,0.249778248,0.252625857,0.266308341,0.256482014,0.259564825,0.257986318,0.25831139,0.257905997,0.265154677,0.267460609,0.266288855,0.26037916,0.249279507,0.242489077,0.256149915,0.25150363,0.261624598,0.254976542,0.26122173,0.255201919,0.256567126,0.255906881,0.248518304,0.25696005,0.258070403,0.25143402,0.246750614,0.251876287,0.250256891,0.334244024,0.353412953,0.351507286,0.340925976,0.317078444,0.321326143,0.315738851,0.325481325,0.430229046,0.497012457,0.489684607,0.534802236,0.596733021,0.626175742,0.598202421,0.564300887,0.563455878,0.558480558,0.542760467,0.507334233,0.485687717,0.481223963,0.479616992,0.500212186,0.55973781
CFG US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.689976385,1.679916374,1.693275058,1.690124823,1.519803717,1.321279338,1.108807992,1.255392218,1.25365673,1.292787467,1.319853778,1.462938518,1.415849065,1.400348061,1.376400454,1.367606113,1.287126327,1.346057417,1.364337818,1.370437663,1.408949948,1.366038235,1.369454452,1.293304264,1.342123843
CTXS US  EQUITY,RETURN_COM_EQY,nan,1.889068899,1.981912538,1.960055042,1.957540423,1.957189715,1.929774416,1.910602552,1.85682113,1.848266985,1.958919347,1.990103204,2.009767767,2.051339627,2.083957822,1.086646164,1.171171557,1.301393723,1.389663623,1.993624121,2.026902951,1.470882994,1.452164271,1.478239911,1.462200013,1.469483739,1.475340483,1.47988975,1.47983629,1.432438069,1.450500681,1.438113293,1.455771239,1.444704036,1.456759541,1.93845693,1.867144568,1.919345792,1.941137765,1.919929248,1.943282488,1.815305806,1.865357623,1.927106798,1.905479829,1.905090281,1.909399462,1.916208584,1.952843626,1.992812211,1.9894598,1.994624496,1.985923946,1.911505719,1.91098685,1.926599161,1.909965928,1.934495986,1.911488984,1.913451303,1.928255689,1.959095485,1.962488752,1.968016045,2.006684144,2.02374906,1.962417044,1.912963174,1.989093075,1.985340047,1.863560772,1.844169861,1.861604893,1.902117025,1.996634024,2.005066817,1.357662918,1.374496671,1.410035858,1.38111742,1.437644113,1.422357736,1.420619684,1.442122576,1.492768491,1.481413475,1.526591496,1.307023312,1.389213705,1.410947303,0.620713857,0.360713034,0.427011714,0.535081088,0.468282781
CME US  EQUITY,RETURN_COM_EQY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.972904903,1.948075752,1.955172833,1.89424238,1.922081942,1.909684759,1.897497446,1.937343122,1.970367333,1.93845693,1.867144568,1.919345792,1.941137765,1.919929248,1.943282488,1.887140813,1.89294971,1.927106798,1.905479829,1.905090281,1.909399462,1.916208584,1.952843626,1.976953945,1.974286913,1.980845571,1.89227359,1.766445006,1.761708012,1.311672509,1.341498308,1.797734155,1.789464447,1.750177266,1.57301066,1.649589701,1.821694889,1.853571762,1.883278732,1.899859787,1.859011752,1.815931955,1.879501222,1.837393153,1.747655803,1.735125064,1.751007499,1.783199343,1.850660066,1.900832934,1.92907051,1.946580504,1.811338507,1.774293589,1.819980303,1.812448722,1.834483602,1.782117933,1.839852007,1.85655726,1.852837962,1.846882158,1.848400217,1.86452978,1.845427536,1.793796732,1.7598905,1.724128504,1.712724005
CMS US  EQUITY,RETURN_COM_EQY,0.369695483,0.401703414,0.39502146,0.482022182,0.469818142,0.453300941,0.48020781,0.548814464,0.447730293,0.462693199,0.467120638,0.51575761,0.44577894,0.447981956,0.454038462,0.360513954,0.397288917,0.426335503,0.446519555,0.469923027,0.452590311,0.441137411,0.449332744,0.538600673,0.543178862,0.252097026,0.461481558,0.304137076,0.257478392,0.288051874,0.258576234,0.25079057,0.245990966,0.257071342,0.267670373,0.349809991,0.376450458,0.344238357,0.349614347,0.391745298,0.391099201,0.361690311,0.341238955,0.332041912,0.353006372,0.340855785,0.323930312,0.319627673,0.328555515,0.329456325,0.333874342,0.340376742,0.381201672,0.4178775,0.45997305,0.441320761,0.416441822,0.410763786,0.407711869,0.401470106,0.411074439,0.348883248,0.33793613,0.346283978,0.327074289,0.34398422,0.389026146,0.416346778,0.396008361,0.386975911,0.461676386,0.490663636,0.486067231,0.459902001,0.403292905,0.41008927,0.411150589,0.384727683,0.494667344,0.546959297,0.532561676,0.565485891,0.544121963,0.635154519,0.587758034,0.558606273,0.552713451,0.57020122,0.591490969,0.56980215,0.570671922,0.631391322,0.630159105,0.645640617,0.635121277
