,Dates,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
KSS US  EQUITY,PX_TO_BOOK_RATIO,0.675477203,0.817996588,0.626540491,0.82621937,1.485159971,1.155770323,0.938857641,1.367842773,1.196684177,1.438771356,1.324991099,0.971687332,0.941559904,0.423786645,0.392786536,0.044618331,0.034888111,-0.157163297,-0.033695801,-0.148758647,-0.09603213,-0.096146903,-0.245471306,-0.310371063,-0.327112345,-0.196100268,0.038541727,0.022668803,0.005042145,-0.144234244,-0.251713884,-0.476053853,-0.467578916,-0.470616665,-0.372812823,-0.401625936,-0.280091185,-0.376960053,-0.306730536,-0.402836346,-0.429933563,-0.454996696,-0.551873869,-0.536785089,-0.529140755,-0.544002296,-0.432131901,-0.487259856,-0.511481514,-0.530787908,-0.509500615,-0.570920576,-0.54078966,-0.548302409,-0.535018434,-0.582994886,-0.568083389,-0.617413457,-0.540266967,-0.43416215,-0.381943142,-0.382339908,-0.364288259,-0.340288054,-0.38603313,-0.362434627,-0.417628479,-0.381735366,-0.413249189,-0.434588268,-0.424058237,-0.380820064,-0.304341653,-0.325227238,-0.348014332,-0.342360981
KHC US  EQUITY,PX_TO_BOOK_RATIO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.370462575,-0.343989282,-0.378969091,-0.335797696,-0.389008694,-0.370646813,-0.376555072,-0.40118283,-0.419237163,-0.405039624,-0.34120011,-0.387616493,-0.420033966,-0.408697888
KR US  EQUITY,PX_TO_BOOK_RATIO,0.077402542,0.392475374,0.249332278,0.538020886,0.91901882,0.637184424,0.91965926,0.384796631,0.521172695,0.277395591,0.048716891,0.060834886,-0.083251569,-0.054742601,-0.055254737,-0.102681528,-0.164619958,-0.115762125,-0.280576324,-0.255363263,-0.126142013,-0.038263008,-0.016134678,-0.165211065,-0.214682099,-0.118794326,-0.076844453,-0.120550309,-0.005301912,-0.093997255,-0.044898083,-0.053645197,-0.063851098,0.047699332,0.072962457,0.184871999,0.024488584,-0.06578632,-0.264274474,-0.132332455,-0.155519446,-0.19771813,-0.190320022,-0.254151101,-0.254772525,-0.224372333,-0.204638917,-0.21050296,-0.152173827,-0.14799427,-0.114950578,-0.082242982,-0.088696174,-0.099883423,-0.059310332,-0.091281208,-0.116579136,0.078601374,0.069230434,-0.032857455,0.021494501,-0.053957929,-0.081732081,-0.096028053,-0.144093003,-0.157172956,-0.212896866,-0.173082968,-0.235944066,-0.278297999,-0.316109147,-0.248810508,-0.263231438,-0.271375816,-0.297172129,-0.285855472
LB US  EQUITY,PX_TO_BOOK_RATIO,-0.464821898,-0.111702541,-0.399820715,-0.500333353,-0.655256492,-0.64064428,-0.804100953,-0.7161329,-0.733409388,-0.735645875,-0.767488003,-0.83771575,-0.854946954,-0.817140174,-0.853715888,-0.895590798,-0.833485298,-0.866570083,-0.746186395,-0.706680516,-0.428267787,-0.449270998,-0.515303725,-0.438025363,-0.494058741,-0.450972788,-0.435596349,-0.409545365,-0.564975045,-0.549330581,-0.570654399,-0.593178893,-0.599345028,-0.551145444,-0.553534556,-0.603112467,-0.562121253,-0.539578972,-0.445463999,-0.392072279,-0.321193294,-0.243597508,-0.184947476,-0.055698379,0.311430888,1.033361769,2.741016675,3.422745247,4.171409185,4.118745338,4.052836438,4.137624348,4.45731426,4.264085809,4.464448919,3.998431194,4.401470552,4.162531131,4.258845404,4.7825779,4.941104301,5.319945296,5.480561911,5.501256677,5.20387184,5.374679955,5.137743866,5.254935943,5.16083321,5.183018676,5.198170854,5.205878907,5.438518637,5.430945357,5.252965509,5.19397085
LLL US  EQUITY,PX_TO_BOOK_RATIO,-0.370502153,-0.321639257,-0.330283261,-0.206502257,-0.084310295,-0.403930518,-0.216066074,-0.331642743,-0.208673175,-0.39736103,-0.282495323,-0.47111237,-0.513210366,-0.551982015,-0.603108823,-0.618123952,-0.537990076,-0.50738469,-0.48407215,-0.486004695,-0.560866291,-0.485327167,-0.529046483,-0.591457661,-0.531495748,-0.606159439,-0.593136758,-0.650727665,-0.603599486,-0.579847774,-0.573957957,-0.551836624,-0.461982013,-0.520803122,-0.464109878,-0.471975753,-0.446554034,-0.56215896,-0.587318099,-0.615560705,-0.591090011,-0.634826153,-0.695005916,-0.717326213,-0.674941706,-0.645004761,-0.644544163,-0.682328333,-0.660559432,-0.66888555,-0.656478206,-0.619245162,-0.57889641,-0.612084334,-0.577229429,-0.656064309,-0.599552887,-0.611713345,-0.589173373,-0.434544085,-0.420074577,-0.383928204,-0.343795218,-0.310436043,-0.348013875,-0.299099885,-0.335957387,-0.319686369,-0.320946462,-0.335901453,-0.312290475,-0.301730895,-0.258755011,-0.298025568,-0.307670243,-0.320555701
LH US  EQUITY,PX_TO_BOOK_RATIO,-0.211622823,0.064058909,0.154222544,0.674471416,0.567431854,0.710226454,1.108542709,0.732525244,0.938976848,1.026572348,0.415311805,-0.137549484,0.149900011,-0.056747262,-0.172392143,-0.033464729,-0.024289003,-0.016282572,0.064263312,0.153927757,0.292315533,0.011019146,-0.056525829,0.137122646,0.133905316,0.268561613,0.246102803,0.47577594,0.473674319,0.436594572,0.380737537,0.536148398,0.60467166,0.411359104,0.673807919,0.764592736,0.519986512,0.57505523,0.299135181,0.432183059,0.271589958,0.313777918,0.257009307,0.170771578,0.150524959,0.16648428,0.06864573,0.027687389,-0.064989555,0.007684368,-0.03535656,-0.144261659,-0.220743667,-0.130613709,-0.169353415,-0.238205236,-0.218870769,-0.237866164,-0.266014081,-0.278878239,-0.328423664,-0.312950775,-0.307040438,-0.283642941,-0.326899241,-0.294069445,-0.32753534,-0.325776698,-0.322837912,-0.326115714,-0.340652071,-0.340022408,-0.287966239,-0.305273715,-0.337346705,-0.354274793
LRCX US  EQUITY,PX_TO_BOOK_RATIO,0.949061513,0.953460908,-0.106286504,-0.277564612,0.158113154,0.506340923,0.045636078,0.300320382,0.643699753,0.1885974,-0.932481627,-0.185484125,-0.074688239,0.296783028,0.485777014,1.154057393,0.480551116,0.512343267,0.052916545,0.11629005,0.190812775,0.106479066,0.166811422,0.279090429,0.332118767,0.45169623,0.219081766,0.22210169,0.058486436,0.520904782,0.336908157,-0.015446307,-0.127123404,-0.2063376,-0.253542472,-0.352356118,-0.159045341,-0.096108018,0.007837287,0.100930238,-0.082990081,-0.051302433,-0.103544135,-0.08740806,-0.148716913,-0.358257918,-0.325193103,-0.442824486,-0.415627496,-0.559818257,-0.655460669,-0.601062877,-0.539853568,-0.551065924,-0.499757528,-0.566387117,-0.555680581,-0.512629369,-0.441260293,-0.373063442,-0.399954688,-0.326501646,-0.334513435,-0.303291567,-0.333653341,-0.310365163,-0.340813342,-0.312363234,-0.294778095,-0.281174367,-0.220491186,-0.191376475,-0.184410718,-0.220126292,-0.225596736,-0.234435859
LEG US  EQUITY,PX_TO_BOOK_RATIO,-0.525102865,-0.585539088,-0.538998187,-0.552731187,-0.661200511,-0.618644046,-0.63274646,-0.620771947,-0.634274826,-0.612104233,-0.572294232,-0.569903921,-0.647933444,-0.650836852,-0.652477712,-0.755101255,-0.685737687,-0.662024112,-0.596401217,-0.578163745,-0.644541369,-0.608661902,-0.774881396,-0.72463827,-0.683330232,-0.705378312,-0.699774613,-0.781199143,-0.768540771,-0.788198735,-0.833467141,-0.826813965,-0.772883148,-0.695911608,-0.578586947,-0.554175272,-0.518848059,-0.572653278,-0.532687704,-0.536747938,-0.49271108,-0.443637494,-0.432899755,-0.476572324,-0.433991054,-0.425532559,-0.386034959,-0.367060784,-0.411617158,-0.420228402,-0.360403155,-0.337075482,-0.261054134,-0.307147042,-0.348269137,-0.353864783,-0.313678674,-0.23693099,-0.191722422,-0.136230926,-0.106971325,-0.08947376,-0.142324322,-0.16488248,-0.119297836,-0.116254559,-0.130633955,-0.110672169,-0.103635527,-0.085938989,-0.131699102,-0.163316754,-0.187424676,-0.167204119,-0.195891048,-0.206670336
LEN US  EQUITY,PX_TO_BOOK_RATIO,-0.539193778,-0.571790655,-0.445512361,-0.444173515,-0.442446361,-0.487644071,-0.535045383,-0.526985512,-0.522947812,-0.369110894,-0.334980445,-0.523289014,-0.485180398,-0.350304783,-0.385000876,-0.358903613,-0.271810166,-0.634673489,-0.437664265,-0.40045891,-0.433114944,-0.359631805,-0.480039948,-0.540416536,-0.566369393,-0.726572785,-0.720904641,-0.701133779,-0.758395639,-0.795989671,-0.886115549,-0.887973189,-0.777660992,-0.796924655,-0.765974338,-0.740776912,-0.67701357,-0.719788777,-0.624380468,-0.723861241,-0.582557145,-0.608936022,-0.632499117,-0.585305111,-0.603120158,-0.600899145,-0.591547945,-0.531052449,-0.424088612,-0.410732493,-0.378323115,-0.353574694,-0.364804343,-0.45471874,-0.472114234,-0.52531977,-0.51874544,-0.531332861,-0.553546051,-0.423489791,-0.390195253,-0.352572931,-0.329544194,-0.320028699,-0.360198375,-0.337640633,-0.408736011,-0.389165702,-0.38228915,-0.398055351,-0.408242569,-0.369785269,-0.326109126,-0.380323292,-0.415252531,-0.418289007
LUK US  EQUITY,PX_TO_BOOK_RATIO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
