,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/31/2005,3/31/2006,6/30/2006,9/30/2006,12/31/2006,3/31/2007,6/30/2007,9/30/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,
AES US  EQUITY,TOT_DEBT_TO_TOT_EQY,231.2165,232.8222,191.9378,182.1622,238.3544,236.9738,236.1884,168.3432,239.5637,189.0979,202.6995,261.265,242.9252,218.7092,216.3199,288.87,258.583,258.7865,235.8221,254.4999,217.1871,238.8609,228.8358,246.8984,249.3735,296.7185,234.5843,377.5934,432.6594,539.0221,6361.3924,3094.5619,1949.7661,1290.2146,1354.3448,835.9946,783.6325,696.9127,822.1141,537.8188,686.4184,610.8237,521.7405,445.828,371.723,310.155,271.4528,291.8487,271.0152,267.3089,280.8743,272.855,235.8854,234.9887,251.7433,233.2987,231.8176,227.942,218.5347,194.8094,183.5246,184.2202,179.3946,175.2117,196.7055,210.5274,224.5335,210.7783,226.8086,272.4286,272.932,279.8823,267.2162,261.5117,272.3379,278.3392,286.3564,275.5887,281.7506,277.2628,272.4088,295.728,299.3144,299.8396,323.3738,318.3708,300.1234,294.5676,302.5055,308.3263,351.3728,308.7516,300.4755,294.4141,297.6246,
AET US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.7335,17.9886,17.1987,22.6287,21.8178,21.2777,23.3983,22.1532,21.3119,21.1479,20.3647,19.9051,19.3375,17.7696,17.7252,17.7164,16.9986,17.2273,15.7596,15.4606,24.8397,25.321,27.1982,25.8589,25.2363,30.9822,32.5669,35.6009,38.8908,44.3184,47.0781,44.6992,43.1848,39.2977,43.3542,41.5099,39.533,46.1897,44.3089,39.3798,43.425,42.047,43.513,40.0845,45.8892,42.9998,65.0069,61.3762,65.3712,60.4726,63.9926,57.3679,55.7508,52.818,62.8012,53.8604,50.6866,49.1699,48.1179,46.0989,116.2299,112.6343,128.2171,65.7205,58.8892,64.2243,66.3573,54.9595,46.1717,43.9423,,
AMG US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,70.5294,66.9439,61.5574,63.1433,35.6676,38.2886,34.1924,32.6576,46.0482,45.1926,35.5316,29.1594,27.8264,51.11,50.0111,50.0111,82.3245,80.901,90.9127,90.9127,115.9106,111.1796,106.026,101.4523,207.6984,194.267,154.1591,109.2276,106.9323,100.0472,109.2384,100.3052,96.3559,165.8843,169.4094,179.1991,190.6979,165.4993,148.9036,252.4649,107.2012,103.4764,109.1045,126.543,95.7603,95.088,92.3636,89.9854,97.9821,94.7032,76.269,75.7083,76.8661,71.2428,65.9564,66.0106,69.2149,68.8185,74.2425,69.3135,64.921,60.8492,68.1742,64.4152,62.1767,57.5336,56.7176,69.7299,75.2088,71.7031,69.1783,66.1139,78.4408,76.1501,71.7604,62.8736,63.1609,63.2208,61.717,58.2418,63.3813,65.087,65.0352,64.4103,
AFL US  EQUITY,TOT_DEBT_TO_TOT_EQY,12.3554,17.1071,15.3349,20.8873,20.3719,18.2191,16.6324,21.5995,20.3929,14.8012,15.2518,14.8011,14.7827,14.059,15.809,14.8484,28.1567,28.6055,28.7229,26.3585,26.3639,22.271,22.9868,19.8352,24.9448,23.1516,22.2488,22.6166,22.0089,21.2156,20.5192,18.6965,17.3384,20.639,21.2007,20.3489,22.5765,18.9044,18.8622,17.9784,16.1839,21.2341,17.5981,18.4794,14.9393,17.927,17.0963,16.8924,16.9963,17.2051,16.6572,19.7443,19.4835,24.1231,25.9226,30.2558,31.3701,28.305,30.878,28.7526,26.4506,27.0188,27.4783,27.37,25.4403,25.9635,25.3746,29.0552,25.8975,27.5321,27.2375,27.57,36.1127,33.7904,33.4952,31.3409,28.0499,25.5307,28.7894,33.7071,31.878,29.0293,28.2979,24.8939,22.2129,25.3017,26.1693,25.8112,24.4245,23.8795,21.5017,22.1188,22.3319,22.721,24.6271,
A US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0,0,9.8752,2.1112,2.6316,2.0893,10.0343,13.7642,13.7642,0,21.4829,22.4259,22.9954,22.9954,26.4429,27.3744,42.2794,40.7224,37.4715,36.0841,34.5449,32.2219,30.5202,29.7234,29.1287,0,35.868,36.8189,39.557,41.1184,41.0172,42.1941,45.6204,64.5331,67.0028,75.2218,72.6845,83.0403,85.7254,89.0451,86.5006,115.5529,112.0477,109.9544,130.8897,114.0606,64.0611,54.1277,51.619,50.6256,48.4774,46.0741,45.434,45.5545,44.1226,44.3858,56.3883,51.0304,49.4768,47.8415,39.2908,31.3537,39.1038,39.7981,40.3069,39.6882,42.8113,45.3541,43.4192,44.8422,46.3256,46.6971,45.1312,41.5926,47.3928,45.809,39.3827,39.3568,35.7029
APD US  EQUITY,TOT_DEBT_TO_TOT_EQY,67.9976,70.1001,76.4417,76.1065,82.0394,85.2758,106.3246,104.1758,98.4329,93.2027,90.4408,94.8591,99.8249,101.1322,92.9573,93.842,95.4927,92.0133,101.2232,100.6573,129.7755,103.6843,97.9315,100.6484,92.92,76.8565,73.0548,60.9316,60.6542,65.4357,63.32,62.8148,59.9554,63.2323,61.5657,61.3404,55.8031,51.8914,52.0895,49.2818,52.4593,52.5564,53.343,53.9062,57.1026,55.8565,59.4344,60.7509,67.0934,64.8205,68.7013,77.7567,70.8983,76.7733,85.7155,86.0981,81.874,91.3083,85.2356,80.1617,77.9612,72.4568,66.7871,73.2748,70.3095,76.8097,76.2081,73.9676,63.4368,75.4283,88.2167,86.4823,86.7921,82.8231,79.2698,78.3482,74.8512,78.3559,78.1443,76.4566,73.2058,79.6494,77.581,82.4886,79.158,72.2392,59.4731,40.7974,41.2833,38.9063,34.0396,33.353,35.8113,30.6747,30.4167,
AKAM US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.417,0.3039,10.1157,11.1667,12.5396,154.0908,257.2483,430.6621,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,1743.7622,628.5994,53.0785,32.0403,30.5341,28.814,26.9653,20.9491,17.2184,16.2529,15.7144,14.7109,14.2997,13.6644,13.2694,12.7396,12.251,11.8898,11.761,11.4886,11.2177,3.2214,2.8818,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7803,21.4728,21.068,20.5359,20.4464,20.178,20.0723,19.8036,20.0247,19.9643,20.0227,19.8515,19.8162,19.8164,20.0794,19.7151,19.7488,44.4088,48.9694,48.8941,,
ALK US  EQUITY,TOT_DEBT_TO_TOT_EQY,421.2079,296.4183,295.5294,257.8422,210.094,233.9215,174.3853,167.3113,163.7711,131.0324,90.4902,65.7928,29.9958,27.3956,25.1678,23.6132,21.84,19.8182,43.3545,42.9669,44.4559,56.3812,78.3834,77.7724,83.2355,105.4271,105.1803,113.6586,109.4211,106.3965,138.0662,169.8167,167.6045,160.571,165.1735,186.4629,172.1479,148.5006,156.8893,176.9718,172.4339,146.8839,130.812,159.1084,111.9277,130.6218,129.9605,145.4699,137.2555,121.569,126.8286,160.3803,168.9863,201.75,278.1689,271.3677,266.8507,233.3936,212.7279,205.0373,183.4557,151.2715,138.7914,123.4937,116.7675,110.1321,111.3288,102.381,88.8932,74.0759,72.6249,64.7059,59.8833,49.556,42.9276,39.8091,39.0455,37.0121,37.7527,35.4571,33.5737,30.0211,28.3285,26.3544,23.8295,74.581,101.1259,94.99,85.9681,77.3704,74.2486,71.2126,64.3473,53.5215,56.065,
ALB US  EQUITY,TOT_DEBT_TO_TOT_EQY,47.1338,46.1276,34.8737,1.3282,2.6111,7.5692,6.307,7.0213,7.2904,7.1179,17.7434,17.3699,15.8834,41.107,42.7169,66.2399,32.9286,30.1651,32.5666,22.753,25.1884,20.2842,17.5306,15.4864,18.9734,30.9589,28.6894,46.7103,38.9573,32.0549,33.191,32.2865,29.5019,37.5571,35.9276,33.9201,26.9521,143.65,132.7895,99.3046,99.1115,96.9494,83.3096,85.2152,77.6323,76.2347,71.2568,68.3993,71.5121,57.4611,56.6327,70.4663,68.0851,77.2587,83.5001,86.1577,73.4804,65.9678,64.8449,64.9142,63.5123,53.2484,58.3373,46.1724,42.8247,53.3441,45.4885,41.8652,42.0833,37.5396,36.1949,36.579,73.5098,68.4706,61.9049,61.985,65.4343,66.3009,197.1021,123.5822,120.3382,117.3711,116.3492,97.1646,106.2558,99.9391,63.3908,45.2669,44.3249,44.3,55.0255,37.4311,42.0977,46.0571,52.2074,
ARE US  EQUITY,TOT_DEBT_TO_TOT_EQY,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,37.3902,32.8182,32.7178,42.4265,115.3985,103.3531,129.1439,155.0936,132.3496,104.9631,126.199,133.4862,140.6825,140.1065,127.005,135.1256,146.5817,149.2613,168.0615,172.3077,172.3077,172.3077,172.3077,126.5564,136.6446,139.2951,130.7072,139.8053,140.4855,119.5863,137.9307,191.297,171.0699,181.7554,151.2567,165.5067,181.0187,112.7604,122.0361,143.6963,161.2135,165.9301,161.4286,176.5249,148.6412,147.5196,154.4503,168.7501,138.9108,132.8437,112.0276,114.1669,115.1565,104.9816,86.6159,86.5331,88.9913,73.8841,77.5131,80.9598,81.1133,86.755,86.2232,90.8335,91.1094,73.9953,72.1141,76.9316,81.2031,83.6039,88.4765,94.0919,102.1436,105.8997,113.6261,91.6564,97.7123,94.2543,100.8426,77.3655,81.3518,84.453,81.5782,73.495,77.3879,80.2,76.6722,69.3914,
